Nodes
0|Adak NS-Adak Island, AK|1016501
1|Adams Field-Little Rock, AR|1299202
2|Arcata-Eureka/Arcata, CA|1015701
3|Austin - Bergstrom International-Austin, TX|1042302
4|Austin Straubel International-Green Bay, WI|1197701
5|Baltimore/Washington International Thurgood Marshall-Washington, DC (Metropolitan Area)|1082103
6|Baton Rouge Metropolitan/Ryan Field-Baton Rouge, LA|1078101
7|Bellingham International-Bellingham, WA|1066601
8|Bethel Airport-Bethel, AK|1055101
9|Billings Logan International-Billings, MT|1062001
10|Birmingham-Shuttlesworth International-Birmingham, AL|1059903
11|Blue Grass-Lexington, KY|1294502
12|Bob Hope-Los Angeles, CA (Metropolitan Area)|1080002
13|Boise Air Terminal-Boise, ID|1071301
14|Bradley International-Hartford, CT|1052902
15|Buffalo Niagara International-Buffalo, NY|1079202
16|Charles M. Schulz - Sonoma County-Santa Rosa, CA|1502301
17|Charleston International-Charleston, SC|1099401
18|Charlotte Douglas International-Charlotte, NC|1105702
19|Cherry Capital-Traverse City, MI|1538001
20|Chicago O'Hare International-Chicago, IL|1393001
21|Cincinnati/Northern Kentucky International-Cincinnati, OH|1119301
22|Cleveland-Hopkins International-Cleveland, OH (Metropolitan Area)|1104201
23|Dallas/Fort Worth International-Dallas/Fort Worth, TX|1129802
24|Deadhorse Airport-Deadhorse, AK|1470902
25|Denver International-Denver, CO|1129202
26|Des Moines International-Des Moines, IA|1142302
27|Detroit Metro Wayne County-Detroit, MI|1143301
28|Dillingham Airport-Dillingham, AK|1133601
29|El Paso International-El Paso, TX|1154001
30|Eppley Airfield-Omaha, NE|1387101
31|Fairbanks International-Fairbanks, AK|1163001
32|Fanning Field-Idaho Falls, ID|1228001
33|Flagstaff Pulliam-Flagstaff, AZ|1169501
34|Fort Lauderdale-Hollywood International-Miami, FL (Metropolitan Area)|1169702
35|Fort Wayne International-Fort Wayne, IN|1182303
36|Fresno Yosemite International-Fresno, CA|1163802
37|Friedman Memorial-Sun Valley/Hailey/Ketchum, ID|1504101
38|Gallatin Field-Bozeman, MT|1084901
39|General Downing - Peoria International-Peoria, IL|1410802
40|General Mitchell International-Milwaukee, WI|1334202
41|George Bush Intercontinental/Houston-Houston, TX|1226602
42|Gerald R. Ford International-Grand Rapids, MI|1198602
43|Glacier Park International-Kalispell, MT|1164801
44|Great Falls International-Great Falls, MT|1200301
45|Gulfport-Biloxi International-Gulfport/Biloxi, MS|1197301
46|Gustavus Airport-Gustavus, AK|1199701
47|Harrisburg International-Harrisburg, PA|1323001
48|Hartsfield-Jackson Atlanta International-Atlanta, GA (Metropolitan Area)|1039703
49|Hector International-Fargo, ND|1163702
50|Helena Regional-Helena, MT|1215601
51|Homer Airport-Homer, AK|1218401
52|Honolulu International-Honolulu, HI|1217301
53|Huntsville International-Carl T Jones Field-Huntsville, AL|1221701
54|Indianapolis International-Indianapolis, IN|1233903
55|Jackson - Evers International-Jackson/Vicksburg, MS|1244802
56|Jacksonville International-Jacksonville, FL|1245101
57|James M Cox/Dayton International-Dayton, OH|1126701
58|John F. Kennedy International-New York City, NY (Metropolitan Area)|1247801
59|John Wayne Airport-Orange County-Los Angeles, CA (Metropolitan Area)|1490802
60|Juneau International-Juneau, AK|1252301
61|Kahului Airport-Kahului, HI|1383001
62|Kansas City International-Kansas City, MO|1319801
63|Kenai Municipal-Kenai, AK|1155501
64|Ketchikan International-Ketchikan, AK|1281901
65|King Salmon Airport-King Salmon, AK|1024501
66|Kodiak Airport-Kodiak, AK|1017001
67|Kona International Airport at Keahole-Kona, HI|1275803
68|LaGuardia-New York City, NY (Metropolitan Area)|1295301
69|Lambert-St. Louis International-St. Louis, MO|1501602
70|Lehigh Valley International-Allentown/Bethlehem/Easton, PA|1013501
71|Lewiston Nez Perce County-Lewiston, ID|1312701
72|Lihue Airport-Lihue, HI|1298201
73|Logan International-Boston, MA (Metropolitan Area)|1072101
74|Long Beach Daugherty Field-Los Angeles, CA (Metropolitan Area)|1295401
75|Los Angeles International-Los Angeles, CA (Metropolitan Area)|1289201
76|Louis Armstrong New Orleans International-New Orleans, LA|1349501
77|Louisville International-Standiford Field-Louisville, KY|1473002
78|Lubbock Preston Smith International-Lubbock, TX|1289603
79|Luis Munoz Marin International-San Juan, PR|1484302
80|Mahlon Sweet Field-Eugene, OR|1160301
81|Mammoth Lakes Airport-Mammoth Lakes, CA|1338801
82|McCarran International-Las Vegas, NV|1288902
83|McGhee Tyson-Knoxville, TN|1541201
84|Memphis International-Memphis, TN|1324401
85|Metropolitan Oakland International-San Francisco, CA (Metropolitan Area)|1379601
86|Miami International-Miami, FL (Metropolitan Area)|1330302
87|Midland International-Midland/Odessa, TX|1315802
88|Mile 13 Field-Cordova, AK|1092602
89|Minneapolis-St Paul International-Minneapolis/St. Paul, MN|1348701
90|Missoula International-Missoula, MT|1348601
91|Monterey Peninsula-Salinas/Monterey, CA|1347601
92|Nashville International-Nashville, TN|1069301
93|Newark Liberty International-New York City, NY (Metropolitan Area)|1161801
94|Nome Airport-Nome, AK|1387301
95|Norman Y. Mineta San Jose International-San Francisco, CA (Metropolitan Area)|1483102
96|Ontario International-Los Angeles, CA (Metropolitan Area)|1389101
97|Orlando International-Orlando, FL|1320401
98|Palm Beach International-West Palm Beach/Palm Beach, FL|1402701
99|Palm Springs International-Palm Springs, CA|1426201
100|Pangborn Memorial-Wenatchee, WA|1147001
101|Pensacola Gulf Coast Regional-Pensacola, FL|1419302
102|Petersburg James A Johnson-Petersburg, AK|1425601
103|Philadelphia International-Philadelphia, PA|1410001
104|Phoenix Sky Harbor International-Phoenix, AZ|1410701
105|Piedmont Triad International-Greensboro/High Point, NC|1199501
106|Pittsburgh International-Pittsburgh, PA|1412201
107|Port Columbus International-Columbus, OH|1106601
108|Portland International-Portland, OR|1405701
109|Pullman Moscow Regional-Pullman, WA|1430301
110|Quad City International-Quad Cities, IL (Metropolitan Area)|1336701
111|Raleigh-Durham International-Raleigh/Durham, NC|1449201
112|Ralph Wien Memorial-Kotzebue, AK|1397001
113|Rapid City Regional-Rapid City, SD|1445701
114|Redding Municipal-Redding, CA|1448701
115|Reno/Tahoe International-Reno, NV|1457001
116|Rick Husband Amarillo International-Amarillo, TX|1027902
117|Robert Gray AAF-Killeen, TX|1198201
118|Roberts Field-Bend/Redmond, OR|1448901
119|Rogue Valley International - Medford-Medford, OR|1326402
120|Ronald Reagan Washington National-Washington, DC (Metropolitan Area)|1127801
121|Sacramento International-Sacramento, CA|1489301
122|Salt Lake City International-Salt Lake City, UT|1486902
123|San Antonio International-San Antonio, TX|1468301
124|San Diego International-San Diego, CA|1467902
125|San Francisco International-San Francisco, CA (Metropolitan Area)|1477101
126|Santa Barbara Municipal-Santa Barbara, CA|1468901
127|Savannah/Hilton Head International-Savannah, GA|1468501
128|Seattle/Tacoma International-Seattle, WA|1474702
129|Sitka Rocky Gutierrez-Sitka, AK|1482801
130|Southwest Florida International-Fort Myers, FL|1463501
131|Spokane International-Spokane, WA|1188401
132|Tampa International-Tampa, FL (Metropolitan Area)|1530401
133|Ted Stevens Anchorage International-Anchorage, AK|1029902
134|Tri Cities-Pasco/Kennewick/Richland, WA|1425201
135|Truax Field-Madison, WI|1348501
136|Tucson International-Tucson, AZ|1537601
137|Tulsa International-Tulsa, OK|1537001
138|Unalaska Airport-Unalaska, AK|1144501
139|Valdez Pioneer Field-Valdez, AK|1557901
140|Walla Walla Regional-Walla Walla, WA|1027501
141|Washington Dulles International-Washington, DC (Metropolitan Area)|1226401
142|Westchester County-New York City, NY (Metropolitan Area)|1219701
143|Wiley Post/Will Rogers Memorial-Barrow, AK|1075401
144|Wilkes Barre Scranton International-Scranton/Wilkes-Barre, PA|1043401
145|Will Rogers World-Oklahoma City, OK|1385102
146|Wrangell Airport-Wrangell, AK|1584101
147|Yakima Air Terminal/McAllister Field-Yakima, WA|1610101
148|Yakutat Airport-Yakutat, AK|1599101
149|Yeager-Charleston/Dunbar, WV|1114602
Edges
70|108|2393.0|Lehigh Valley International|Allentown/Bethlehem/Easton, PA|Portland International|Portland, OR
70|118|2509.0|Lehigh Valley International|Allentown/Bethlehem/Easton, PA|Roberts Field|Bend/Redmond, OR
70|128|2399.5|Lehigh Valley International|Allentown/Bethlehem/Easton, PA|Seattle/Tacoma International|Seattle, WA
2|92|2374.0|Arcata|Eureka/Arcata, CA|Nashville International|Nashville, TN
2|73|3188.0|Arcata|Eureka/Arcata, CA|Logan International|Boston, MA (Metropolitan Area)
2|25|1480.0|Arcata|Eureka/Arcata, CA|Denver International|Denver, CO
2|93|2857.0|Arcata|Eureka/Arcata, CA|Newark Liberty International|New York City, NY (Metropolitan Area)
2|58|3052.0|Arcata|Eureka/Arcata, CA|John F. Kennedy International|New York City, NY (Metropolitan Area)
2|82|813.0|Arcata|Eureka/Arcata, CA|McCarran International|Las Vegas, NV
2|75|577.0|Arcata|Eureka/Arcata, CA|Los Angeles International|Los Angeles, CA (Metropolitan Area)
2|20|2249.5|Arcata|Eureka/Arcata, CA|Chicago O'Hare International|Chicago, IL
2|108|585.0|Arcata|Eureka/Arcata, CA|Portland International|Portland, OR
2|118|684.0|Arcata|Eureka/Arcata, CA|Roberts Field|Bend/Redmond, OR
2|126|666.0|Arcata|Eureka/Arcata, CA|Santa Barbara Municipal|Santa Barbara, CA
0|66|1445.0|Adak NS|Adak Island, AK|Kodiak Airport|Kodiak, AK
0|133|1192.0|Adak NS|Adak Island, AK|Ted Stevens Anchorage International|Anchorage, AK
0|3|4411.0|Adak NS|Adak Island, AK|Austin - Bergstrom International|Austin, TX
0|25|3665.0|Adak NS|Adak Island, AK|Denver International|Denver, CO
0|31|1453.0|Adak NS|Adak Island, AK|Fairbanks International|Fairbanks, AK
0|60|1763.0|Adak NS|Adak Island, AK|Juneau International|Juneau, AK
0|64|1967.0|Adak NS|Adak Island, AK|Ketchikan International|Ketchikan, AK
0|75|3595.0|Adak NS|Adak Island, AK|Los Angeles International|Los Angeles, CA (Metropolitan Area)
0|61|3989.0|Adak NS|Adak Island, AK|Kahului Airport|Kahului, HI
0|96|3597.0|Adak NS|Adak Island, AK|Ontario International|Los Angeles, CA (Metropolitan Area)
0|20|4038.0|Adak NS|Adak Island, AK|Chicago O'Hare International|Chicago, IL
0|124|3691.0|Adak NS|Adak Island, AK|San Diego International|San Diego, CA
0|128|2641.0|Adak NS|Adak Island, AK|Seattle/Tacoma International|Seattle, WA
0|129|1784.0|Adak NS|Adak Island, AK|Sitka Rocky Gutierrez|Sitka, AK
66|0|1445.0|Kodiak Airport|Kodiak, AK|Adak NS|Adak Island, AK
66|133|253.0|Kodiak Airport|Kodiak, AK|Ted Stevens Anchorage International|Anchorage, AK
66|48|3884.0|Kodiak Airport|Kodiak, AK|Hartsfield-Jackson Atlanta International|Atlanta, GA (Metropolitan Area)
66|3|3484.66666666667|Kodiak Airport|Kodiak, AK|Austin - Bergstrom International|Austin, TX
