Nodes
0|Adams Field-Little Rock, AR|1299202
1|Albany International-Albany, NY|1025701
2|Albuquerque International Sunport-Albuquerque, NM|1014001
3|Austin - Bergstrom International-Austin, TX|1042302
4|Baltimore/Washington International Thurgood Marshall-Washington, DC (Metropolitan Area)|1082103
5|Birmingham-Shuttlesworth International-Birmingham, AL|1059903
6|Bob Hope-Los Angeles, CA (Metropolitan Area)|1080002
7|Boise Air Terminal-Boise, ID|1071301
8|Bradley International-Hartford, CT|1052902
9|Buffalo Niagara International-Buffalo, NY|1079202
10|Chicago Midway International-Chicago, IL|1323201
11|Cleveland-Hopkins International-Cleveland, OH (Metropolitan Area)|1104201
12|Corpus Christi International-Corpus Christi, TX|1114001
13|Dallas Love Field-Dallas/Fort Worth, TX|1125902
14|Denver International-Denver, CO|1129202
15|Detroit Metro Wayne County-Detroit, MI|1143301
16|El Paso International-El Paso, TX|1154001
17|Eppley Airfield-Omaha, NE|1387101
18|Fort Lauderdale-Hollywood International-Miami, FL (Metropolitan Area)|1169702
19|General Mitchell International-Milwaukee, WI|1334202
20|Indianapolis International-Indianapolis, IN|1233903
21|Jackson - Evers International-Jackson/Vicksburg, MS|1244802
22|Jacksonville International-Jacksonville, FL|1245101
23|John Wayne Airport-Orange County-Los Angeles, CA (Metropolitan Area)|1490802
24|Kansas City International-Kansas City, MO|1319801
25|LaGuardia-New York City, NY (Metropolitan Area)|1295301
26|Lambert-St. Louis International-St. Louis, MO|1501602
27|Logan International-Boston, MA (Metropolitan Area)|1072101
28|Long Island MacArthur-New York City, NY (Metropolitan Area)|1239101
29|Los Angeles International-Los Angeles, CA (Metropolitan Area)|1289201
30|Louis Armstrong New Orleans International-New Orleans, LA|1349501
31|Louisville International-Standiford Field-Louisville, KY|1473002
32|Lubbock Preston Smith International-Lubbock, TX|1289603
33|Manchester-Boston Regional-Boston, MA (Metropolitan Area)|1329603
34|McCarran International-Las Vegas, NV|1288902
35|Metropolitan Oakland International-San Francisco, CA (Metropolitan Area)|1379601
36|Midland International-Midland/Odessa, TX|1315802
37|Minneapolis-St Paul International-Minneapolis/St. Paul, MN|1348701
38|Nashville International-Nashville, TN|1069301
39|Norfolk International-Norfolk, VA (Metropolitan Area)|1393101
40|Norman Y. Mineta San Jose International-San Francisco, CA (Metropolitan Area)|1483102
41|Northwest Florida Beaches International-Panama City, FL|1148101
42|Ontario International-Los Angeles, CA (Metropolitan Area)|1389101
43|Orlando International-Orlando, FL|1320401
44|Palm Beach International-West Palm Beach/Palm Beach, FL|1402701
45|Philadelphia International-Philadelphia, PA|1410001
46|Phoenix Sky Harbor International-Phoenix, AZ|1410701
47|Pittsburgh International-Pittsburgh, PA|1412201
48|Port Columbus International-Columbus, OH|1106601
49|Portland International-Portland, OR|1405701
50|Raleigh-Durham International-Raleigh/Durham, NC|1449201
51|Reno/Tahoe International-Reno, NV|1457001
52|Rick Husband Amarillo International-Amarillo, TX|1027902
53|Sacramento International-Sacramento, CA|1489301
54|Salt Lake City International-Salt Lake City, UT|1486902
55|San Antonio International-San Antonio, TX|1468301
56|San Diego International-San Diego, CA|1467902
57|San Francisco International-San Francisco, CA (Metropolitan Area)|1477101
58|Seattle/Tacoma International-Seattle, WA|1474702
59|Southwest Florida International-Fort Myers, FL|1463501
60|Spokane International-Spokane, WA|1188401
61|Tampa International-Tampa, FL (Metropolitan Area)|1530401
62|Theodore Francis Green State-Boston, MA (Metropolitan Area)|1430701
63|Tucson International-Tucson, AZ|1537601
64|Tulsa International-Tulsa, OK|1537001
65|Valley International-Harlingen/San Benito, TX|1220601
66|Washington Dulles International-Washington, DC (Metropolitan Area)|1226401
67|William P Hobby-Houston, TX|1219101
68|Will Rogers World-Oklahoma City, OK|1385102
Edges
2|1|223.926328125|Albuquerque International Sunport|Albuquerque, NM|Albany International|Albany, NY
2|52|206.99|Albuquerque International Sunport|Albuquerque, NM|Rick Husband Amarillo International|Amarillo, TX
2|3|181.650328486806|Albuquerque International Sunport|Albuquerque, NM|Austin - Bergstrom International|Austin, TX
2|8|224.3807|Albuquerque International Sunport|Albuquerque, NM|Bradley International|Hartford, CT
2|5|213.285911949686|Albuquerque International Sunport|Albuquerque, NM|Birmingham-Shuttlesworth International|Birmingham, AL
2|38|183.848527607362|Albuquerque International Sunport|Albuquerque, NM|Nashville International|Nashville, TN
2|7|168.127649006622|Albuquerque International Sunport|Albuquerque, NM|Boise Air Terminal|Boise, ID
2|27|206.936054545455|Albuquerque International Sunport|Albuquerque, NM|Logan International|Boston, MA (Metropolitan Area)
2|9|214.608315217391|Albuquerque International Sunport|Albuquerque, NM|Buffalo Niagara International|Buffalo, NY
2|6|170.823269639066|Albuquerque International Sunport|Albuquerque, NM|Bob Hope|Los Angeles, CA (Metropolitan Area)
2|4|226.904617148098|Albuquerque International Sunport|Albuquerque, NM|Baltimore/Washington International Thurgood Marshall|Washington, DC (Metropolitan Area)
2|11|200.578146718147|Albuquerque International Sunport|Albuquerque, NM|Cleveland-Hopkins International|Cleveland, OH (Metropolitan Area)
2|48|190.664530831099|Albuquerque International Sunport|Albuquerque, NM|Port Columbus International|Columbus, OH
2|12|198.493314285714|Albuquerque International Sunport|Albuquerque, NM|Corpus Christi International|Corpus Christi, TX
2|13|159.255750421585|Albuquerque International Sunport|Albuquerque, NM|Dallas Love Field|Dallas/Fort Worth, TX
2|14|95.4814087759816|Albuquerque International Sunport|Albuquerque, NM|Denver International|Denver, CO
2|15|181.360516853933|Albuquerque International Sunport|Albuquerque, NM|Detroit Metro Wayne County|Detroit, MI
2|41|179.32452173913|Albuquerque International Sunport|Albuquerque, NM|Northwest Florida Beaches International|Panama City, FL
2|16|105.114048257373|Albuquerque International Sunport|Albuquerque, NM|El Paso International|El Paso, TX
2|18|175.610238095238|Albuquerque International Sunport|Albuquerque, NM|Fort Lauderdale-Hollywood International|Miami, FL (Metropolitan Area)
2|60|175.365256410257|Albuquerque International Sunport|Albuquerque, NM|Spokane International|Spokane, WA
2|67|188.38726079825|Albuquerque International Sunport|Albuquerque, NM|William P Hobby|Houston, TX
2|65|178.097939698493|Albuquerque International Sunport|Albuquerque, NM|Valley International|Harlingen/San Benito, TX
2|66|228.407853773585|Albuquerque International Sunport|Albuquerque, NM|Washington Dulles International|Washington, DC (Metropolitan Area)
2|20|180.37712195122|Albuquerque International Sunport|Albuquerque, NM|Indianapolis International|Indianapolis, IN
2|28|215.731531531532|Albuquerque International Sunport|Albuquerque, NM|Long Island MacArthur|New York City, NY (Metropolitan Area)
2|21|214.014782608696|Albuquerque International Sunport|Albuquerque, NM|Jackson - Evers International|Jackson/Vicksburg, MS
2|22|202.57175|Albuquerque International Sunport|Albuquerque, NM|Jacksonville International|Jacksonville, FL
2|34|157.483779979145|Albuquerque International Sunport|Albuquerque, NM|McCarran International|Las Vegas, NV
2|29|167.391044334976|Albuquerque International Sunport|Albuquerque, NM|Los Angeles International|Los Angeles, CA (Metropolitan Area)
2|32|107.151959798995|Albuquerque International Sunport|Albuquerque, NM|Lubbock Preston Smith International|Lubbock, TX
2|25|201.977295719844|Albuquerque International Sunport|Albuquerque, NM|LaGuardia|New York City, NY (Metropolitan Area)
2|0|191.398378378378|Albuquerque International Sunport|Albuquerque, NM|Adams Field|Little Rock, AR
2|36|111.606674259681|Albuquerque International Sunport|Albuquerque, NM|Midland International|Midland/Odessa, TX
2|24|191.088788135593|Albuquerque International Sunport|Albuquerque, NM|Kansas City International|Kansas City, MO
