Nodes
0|Akron-Canton Regional-Cleveland, OH (Metropolitan Area)|1087402
1|Albany International-Albany, NY|1025702
2|Albuquerque International Sunport-Albuquerque, NM|1014002
3|Austin - Bergstrom International-Austin, TX|1042302
4|Baltimore/Washington International Thurgood Marshall-Washington, DC (Metropolitan Area)|1082103
5|Bill and Hillary Clinton Nat Adams Field-Little Rock, AR|1299204
6|Birmingham-Shuttlesworth International-Birmingham, AL|1059904
7|Bishop International-Flint, MI|1172102
8|Bob Hope-Los Angeles, CA (Metropolitan Area)|1080003
9|Boise Air Terminal-Boise, ID|1071302
10|Bradley International-Hartford, CT|1052904
11|Branson Airport-Branson, MO|1064301
12|Buffalo Niagara International-Buffalo, NY|1079204
13|Charleston AFB/International-Charleston, SC|1099402
14|Charlotte Douglas International-Charlotte, NC|1105703
15|Chicago Midway International-Chicago, IL|1323202
16|Cleveland-Hopkins International-Cleveland, OH (Metropolitan Area)|1104202
17|Corpus Christi International-Corpus Christi, TX|1114002
18|Dallas Love Field-Dallas/Fort Worth, TX|1125903
19|Denver International-Denver, CO|1129202
20|Des Moines International-Des Moines, IA|1142303
21|Detroit Metro Wayne County-Detroit, MI|1143302
22|El Paso International-El Paso, TX|1154003
23|Eppley Airfield-Omaha, NE|1387102
24|Fort Lauderdale-Hollywood International-Miami, FL (Metropolitan Area)|1169703
25|General Mitchell International-Milwaukee, WI|1334205
26|Gerald R. Ford International-Grand Rapids, MI|1198603
27|Greater Rochester International-Rochester, NY|1457604
28|Greenville-Spartanburg International-Greenville/Spartanburg, SC|1199603
29|Hartsfield-Jackson Atlanta International-Atlanta, GA (Metropolitan Area)|1039705
30|Indianapolis International-Indianapolis, IN|1233904
31|Jackson - Evers International-Jackson/Vicksburg, MS|1244803
32|Jackson Medgar Wiley Evers International-Jackson/Vicksburg, MS|1244805
33|Jacksonville International-Jacksonville, FL|1245102
34|James M Cox/Dayton International-Dayton, OH|1126702
35|John Wayne Airport-Orange County-Los Angeles, CA (Metropolitan Area)|1490803
36|Kansas City International-Kansas City, MO|1319801
37|Key West International-Key West, FL|1162402
38|LaGuardia-New York City, NY (Metropolitan Area)|1295302
39|Lambert-St. Louis International-St. Louis, MO|1501603
40|Logan International-Boston, MA (Metropolitan Area)|1072102
41|Long Island MacArthur-New York City, NY (Metropolitan Area)|1239102
42|Los Angeles International-Los Angeles, CA (Metropolitan Area)|1289203
43|Louis Armstrong New Orleans International-New Orleans, LA|1349502
44|Louis Armstrong New Orleans International-New Orleans, LA|1349503
45|Louisville International-Standiford Field-Louisville, KY|1473003
46|Lubbock Preston Smith International-Lubbock, TX|1289605
47|Luis Munoz Marin International-San Juan, PR|1484303
48|Luis Munoz Marin International-San Juan, PR|1484304
49|Manchester-Boston Regional-Boston, MA (Metropolitan Area)|1329604
50|McCarran International-Las Vegas, NV|1288903
51|Memphis International-Memphis, TN|1324402
52|Metropolitan Oakland International-San Francisco, CA (Metropolitan Area)|1379601
53|Metropolitan Oakland International-San Francisco, CA (Metropolitan Area)|1379602
54|Midland International-Midland/Odessa, TX|1315802
55|Minneapolis-St Paul International-Minneapolis/St. Paul, MN|1348702
56|Nashville International-Nashville, TN|1069302
57|Newark Liberty International-New York City, NY (Metropolitan Area)|1161802
58|Norfolk International-Norfolk, VA (Metropolitan Area)|1393102
59|Norman Y. Mineta San Jose International-San Francisco, CA (Metropolitan Area)|1483103
60|Northwest Florida Beaches International-Panama City, FL|1148102
61|Ontario International-Los Angeles, CA (Metropolitan Area)|1389101
62|Orlando International-Orlando, FL|1320402
63|Palm Beach International-West Palm Beach/Palm Beach, FL|1402702
64|Pensacola Gulf Coast Regional-Pensacola, FL|1419303
65|Philadelphia International-Philadelphia, PA|1410002
66|Phoenix Sky Harbor International-Phoenix, AZ|1410702
67|Pittsburgh International-Pittsburgh, PA|1412202
68|Port Columbus International-Columbus, OH|1106602
69|Port Columbus International-Columbus, OH|1106603
70|Portland International Jetport-Portland, ME|1432103
71|Portland International-Portland, OR|1405702
72|Raleigh-Durham International-Raleigh/Durham, NC|1449202
73|Reno/Tahoe International-Reno, NV|1457002
74|Richmond International-Richmond, VA|1452401
75|Rick Husband Amarillo International-Amarillo, TX|1027903
76|Ronald Reagan Washington National-Washington, DC (Metropolitan Area)|1127802
77|Sacramento International-Sacramento, CA|1489302
78|Salt Lake City International-Salt Lake City, UT|1486903
79|San Antonio International-San Antonio, TX|1468303
80|San Diego International-San Diego, CA|1467903
81|San Francisco International-San Francisco, CA (Metropolitan Area)|1477101
82|Seattle/Tacoma International-Seattle, WA|1474703
83|Southwest Florida International-Fort Myers, FL|1463502
84|Spokane International-Spokane, WA|1188402
85|Tampa International-Tampa, FL (Metropolitan Area)|1530402
86|Theodore Francis Green State-Boston, MA (Metropolitan Area)|1430702
87|Tucson International-Tucson, AZ|1537602
88|Tulsa International-Tulsa, OK|1537002
89|Valley International-Harlingen/San Benito, TX|1220603
90|Washington Dulles International-Washington, DC (Metropolitan Area)|1226402
91|Wichita Mid-Continent-Wichita, KS|1227802
92|William P Hobby-Houston, TX|1219102
93|Will Rogers World-Oklahoma City, OK|1385103
Edges
