Nodes
0|Adak-Adak Island, AK|1016502
1|Albuquerque International Sunport-Albuquerque, NM|1014002
2|Albuquerque International Sunport-Albuquerque, NM|1014003
3|Aspen Pitkin County Sardy Field-Aspen, CO|1037203
4|Austin - Bergstrom International-Austin, TX|1042302
5|Austin Straubel International-Green Bay, WI|1197702
6|Baltimore/Washington International Thurgood Marshall-Washington, DC (Metropolitan Area)|1082103
7|Baton Rouge Metropolitan/Ryan Field-Baton Rouge, LA|1078102
8|Bellingham International-Bellingham, WA|1066602
9|Bethel Airport-Bethel, AK|1055102
10|Bill and Hillary Clinton Nat Adams Field-Little Rock, AR|1299204
11|Billings Logan International-Billings, MT|1062002
12|Birmingham-Shuttlesworth International-Birmingham, AL|1059904
13|Bismarck Municipal-Bismarck/Mandan, ND|1062702
14|Bob Hope-Los Angeles, CA (Metropolitan Area)|1080003
15|Boise Air Terminal-Boise, ID|1071302
16|Bozeman Yellowstone International-Bozeman, MT|1084903
17|Bradley International-Hartford, CT|1052904
18|Buffalo Niagara International-Buffalo, NY|1079204
19|Charles M. Schulz - Sonoma County-Santa Rosa, CA|1502302
20|Charleston AFB/International-Charleston, SC|1099402
21|Charlotte Douglas International-Charlotte, NC|1105703
22|Chicago O'Hare International-Chicago, IL|1393003
23|Cincinnati/Northern Kentucky International-Cincinnati, OH|1119302
24|City of Colorado Springs Municipal-Colorado Springs, CO|1110902
25|Cleveland-Hopkins International-Cleveland, OH (Metropolitan Area)|1104203
26|Corpus Christi International-Corpus Christi, TX|1114004
27|Dallas/Fort Worth International-Dallas/Fort Worth, TX|1129803
28|Dane County Regional-Truax Field-Madison, WI|1348502
29|Deadhorse Airport-Deadhorse, AK|1470903
30|Denver International-Denver, CO|1129202
31|Des Moines International-Des Moines, IA|1142303
32|Detroit Metro Wayne County-Detroit, MI|1143302
33|Dillingham Airport-Dillingham, AK|1133602
34|El Paso International-El Paso, TX|1154003
35|Eppley Airfield-Omaha, NE|1387102
36|Fairbanks International-Fairbanks, AK|1163002
37|Fort Lauderdale-Hollywood International-Miami, FL (Metropolitan Area)|1169703
38|Fresno Yosemite International-Fresno, CA|1163805
39|Friedman Memorial-Sun Valley/Hailey/Ketchum, ID|1504102
40|General Mitchell International-Milwaukee, WI|1334205
41|George Bush Intercontinental/Houston-Houston, TX|1226603
42|Gerald R. Ford International-Grand Rapids, MI|1198603
43|Glacier Park International-Kalispell, MT|1164802
44|Grand Junction Regional-Grand Junction, CO|1192102
45|Greater Rochester International-Rochester, NY|1457604
46|Great Falls International-Great Falls, MT|1200302
47|Gulfport-Biloxi International-Gulfport/Biloxi, MS|1197302
48|Gustavus Airport-Gustavus, AK|1199702
49|Harrisburg International-Harrisburg, PA|1323002
50|Hartsfield-Jackson Atlanta International-Atlanta, GA (Metropolitan Area)|1039705
51|Hector International-Fargo, ND|1163703
52|Helena Regional-Helena, MT|1215602
53|Homer Airport-Homer, AK|1218402
54|Honolulu International-Honolulu, HI|1217301
55|Honolulu International-Honolulu, HI|1217302
56|Huntsville International-Carl T Jones Field-Huntsville, AL|1221702
57|Indianapolis International-Indianapolis, IN|1233904
58|Jackson Hole-Jackson, WY|1244102
59|Jacksonville International-Jacksonville, FL|1245102
60|James M Cox/Dayton International-Dayton, OH|1126702
61|Joe Foss Field-Sioux Falls, SD|1177502
62|John F. Kennedy International-New York City, NY (Metropolitan Area)|1247802
63|John Wayne Airport-Orange County-Los Angeles, CA (Metropolitan Area)|1490803
64|Juneau International-Juneau, AK|1252303
65|Kahului Airport-Kahului, HI|1383002
66|Kansas City International-Kansas City, MO|1319801
67|Kenai Municipal-Kenai, AK|1155502
68|Ketchikan International-Ketchikan, AK|1281902
69|King Salmon Airport-King Salmon, AK|1024502
70|Kodiak Airport-Kodiak, AK|1017001
71|Kona International Airport at Keahole-Kona, HI|1275803
72|LaGuardia-New York City, NY (Metropolitan Area)|1295302
73|Lambert-St. Louis International-St. Louis, MO|1501603
74|Lewiston Nez Perce County-Lewiston, ID|1312702
75|Lihue Airport-Lihue, HI|1298202
76|Logan International-Boston, MA (Metropolitan Area)|1072102
77|Long Beach Airport-Los Angeles, CA (Metropolitan Area)|1295402
