Nodes
0|Aberdeen Regional-Aberdeen, SD|1014102
1|Aberdeen Regional-Aberdeen, SD|1014103
2|Akron-Canton Regional-Cleveland, OH (Metropolitan Area)|1087402
3|Albany International-Albany, NY|1025702
4|Albert J Ellis-Jacksonville/Camp Lejeune, NC|1379502
5|Albuquerque International Sunport-Albuquerque, NM|1014002
6|Albuquerque International Sunport-Albuquerque, NM|1014003
7|Alexandria International-Alexandria, LA|1018502
8|Alpena County Regional-Alpena, MI|1033302
9|Asheville Regional-Asheville, NC|1043102
10|Aspen Pitkin County Sardy Field-Aspen, CO|1037203
11|Augusta Regional at Bush Field-Augusta, GA|1020803
12|Austin - Bergstrom International-Austin, TX|1042302
13|Austin Straubel International-Green Bay, WI|1197702
14|Baltimore/Washington International Thurgood Marshall-Washington, DC (Metropolitan Area)|1082103
15|Bangor International-Bangor, ME|1058102
16|Baton Rouge Metropolitan/Ryan Field-Baton Rouge, LA|1078102
17|Bellingham International-Bellingham, WA|1066602
18|Bemidji Regional-Bemidji, MN|1063104
19|Bert Mooney-Butte, MT|1077902
20|Bill and Hillary Clinton Nat Adams Field-Little Rock, AR|1299204
21|Billings Logan International-Billings, MT|1062002
22|Birmingham-Shuttlesworth International-Birmingham, AL|1059904
23|Bishop International-Flint, MI|1172102
24|Bismarck Municipal-Bismarck/Mandan, ND|1062702
25|Blue Grass-Lexington, KY|1294503
26|Bob Hope-Los Angeles, CA (Metropolitan Area)|1080003
27|Boise Air Terminal-Boise, ID|1071302
28|Bozeman Yellowstone International-Bozeman, MT|1084903
29|Bradley International-Hartford, CT|1052904
30|Brunswick Golden Isles-Brunswick, GA|1073103
31|Buffalo Niagara International-Buffalo, NY|1079204
32|Burlington International-Burlington, VT|1078502
33|Canyonlands Field-Moab, UT|1109202
34|Capital Region International-Lansing, MI|1288403
35|Casper/Natrona County International-Casper, WY|1112202
36|Casper/Natrona County International-Casper, WY|1112203
37|Cedar City Regional-Cedar City, UT|1091802
38|Central Illinois Regional-Bloomington/Normal, IL|1068502
39|Central Wisconsin-Wausau/Mosinee/Stevens Point, WI|1120302
40|Charles M. Schulz - Sonoma County-Santa Rosa, CA|1502302
41|Charleston AFB/International-Charleston, SC|1099402
42|Charlotte Douglas International-Charlotte, NC|1105703
43|Charlottesville Albemarle-Charlottesville, VA|1099002
44|Cherry Capital-Traverse City, MI|1538003
45|Chicago Midway International-Chicago, IL|1323202
46|Chicago O'Hare International-Chicago, IL|1393003
47|Chippewa County International-Sault Ste. Marie, MI|1101303
48|Cincinnati/Northern Kentucky International-Cincinnati, OH|1119302
49|City of Colorado Springs Municipal-Colorado Springs, CO|1110902
50|Cleveland-Hopkins International-Cleveland, OH (Metropolitan Area)|1104202
51|Cleveland-Hopkins International-Cleveland, OH (Metropolitan Area)|1104203
52|Coastal Carolina Regional-New Bern/Morehead/Beaufort, NC|1161706
53|Columbia Metropolitan-Columbia, SC|1086803
54|Columbus Airport-Columbus, GA|1115003
55|Cyril E King-Charlotte Amalie, VI|1502403
56|Dallas/Fort Worth International-Dallas/Fort Worth, TX|1129803
57|Dallas Love Field-Dallas/Fort Worth, TX|1125903
58|Dane County Regional-Truax Field-Madison, WI|1348502
59|Daytona Beach International-Daytona Beach, FL|1125203
60|Delta County-Escanaba, MI|1158702
61|Denver International-Denver, CO|1129202
62|Des Moines International-Des Moines, IA|1142303
63|Detroit Metro Wayne County-Detroit, MI|1143302
64|Dickinson - Theodore Roosevelt Regional-Dickinson, ND|1131502
