Nodes
1014005|Albuquerque International Sunport-Albuquerque, NM|0
1039707|Hartsfield-Jackson Atlanta International-Atlanta, GA (Metropolitan Area)|1
1128302|Dodge City Regional-Dodge City, KS|2
1412202|Pittsburgh International-Pittsburgh, PA|3
1226603|George Bush Intercontinental/Houston-Houston, TX|4
1119706|Clovis Municipal-Clovis, NM|5
1129806|Dallas/Fort Worth International-Dallas/Fort Worth, TX|6
1320002|McCook Ben Nelson Regional-McCook, NE|7
1082106|Baltimore/Washington International Thurgood Marshall-Washington, DC (Metropolitan Area)|8
1129202|Denver International-Denver, CO|9
1517702|Telluride Regional-Telluride, CO|10
1193105|Greenville Mid Delta-Greenville, MS|11
1108502|Cavern City Air Terminal-Carlsbad, NM|12
1095002|Cortez Municipal-Cortez, CO|13
1489302|Sacramento International-Sacramento, CA|14
1556902|Victoria Regional-Victoria, TX|15
1027205|San Luis Valley Regional/Bergman Field-Alamosa, CO|16
1022105|Alliance Municipal-Alliance, NE|17
1289208|Los Angeles International-Los Angeles, CA (Metropolitan Area)|18
1410702|Phoenix Sky Harbor International-Phoenix, AZ|19
1319402|Merced Regional/Macready Field-Merced, CA|20
1069302|Nashville International-Nashville, TN|21
1379608|Metropolitan Oakland International-San Francisco, CA (Metropolitan Area)|22
Edges
1014005|1129806|251.955|Albuquerque International Sunport|Albuquerque, NM|Dallas/Fort Worth International|Dallas/Fort Worth, TX
1027205|1129202|54.645|San Luis Valley Regional/Bergman Field|Alamosa, CO|Denver International|Denver, CO
1039707|1129806|91.76|Hartsfield-Jackson Atlanta International|Atlanta, GA (Metropolitan Area)|Dallas/Fort Worth International|Dallas/Fort Worth, TX
1069302|1129806|107.74|Nashville International|Nashville, TN|Dallas/Fort Worth International|Dallas/Fort Worth, TX
1082106|1412202|134.48|Baltimore/Washington International Thurgood Marshall|Washington, DC (Metropolitan Area)|Pittsburgh International|Pittsburgh, PA
1095002|1129202|75.377|Cortez Municipal|Cortez, CO|Denver International|Denver, CO
1095002|1410702|81.52|Cortez Municipal|Cortez, CO|Phoenix Sky Harbor International|Phoenix, AZ
1108502|1014005|114.39|Cavern City Air Terminal|Carlsbad, NM|Albuquerque International Sunport|Albuquerque, NM
1119706|1129806|101.125|Clovis Municipal|Clovis, NM|Dallas/Fort Worth International|Dallas/Fort Worth, TX
1128302|1129202|143.358333333333|Dodge City Regional|Dodge City, KS|Denver International|Denver, CO
1129202|1022105|61.09|Denver International|Denver, CO|Alliance Municipal|Alliance, NE
1129202|1027205|27.28|Denver International|Denver, CO|San Luis Valley Regional/Bergman Field|Alamosa, CO
1129202|1095002|68.46|Denver International|Denver, CO|Cortez Municipal|Cortez, CO
1129202|1128302|202.246666666667|Denver International|Denver, CO|Dodge City Regional|Dodge City, KS
1129202|1410702|138.84|Denver International|Denver, CO|Phoenix Sky Harbor International|Phoenix, AZ
1129202|1517702|127.36|Denver International|Denver, CO|Telluride Regional|Telluride, CO
1129806|1014005|255.96|Dallas/Fort Worth International|Dallas/Fort Worth, TX|Albuquerque International Sunport|Albuquerque, NM
1129806|1039707|183.195|Dallas/Fort Worth International|Dallas/Fort Worth, TX|Hartsfield-Jackson Atlanta International|Atlanta, GA (Metropolitan Area)
1129806|1108502|275.07|Dallas/Fort Worth International|Dallas/Fort Worth, TX|Cavern City Air Terminal|Carlsbad, NM
1129806|1119706|75.41|Dallas/Fort Worth International|Dallas/Fort Worth, TX|Clovis Municipal|Clovis, NM
1129806|1193105|162.43|Dallas/Fort Worth International|Dallas/Fort Worth, TX|Greenville Mid Delta|Greenville, MS
1129806|1226603|206.14|Dallas/Fort Worth International|Dallas/Fort Worth, TX|George Bush Intercontinental/Houston|Houston, TX
1129806|1556902|159.78|Dallas/Fort Worth International|Dallas/Fort Worth, TX|Victoria Regional|Victoria, TX
1226603|1129806|428.33|George Bush Intercontinental/Houston|Houston, TX|Dallas/Fort Worth International|Dallas/Fort Worth, TX
1226603|1556902|34.2933333333333|George Bush Intercontinental/Houston|Houston, TX|Victoria Regional|Victoria, TX
1289208|1319402|83.78|Los Angeles International|Los Angeles, CA (Metropolitan Area)|Merced Regional/Macready Field|Merced, CA
1289208|1379608|185.44|Los Angeles International|Los Angeles, CA (Metropolitan Area)|Metropolitan Oakland International|San Francisco, CA (Metropolitan Area)
1289208|1489302|157.375|Los Angeles International|Los Angeles, CA (Metropolitan Area)|Sacramento International|Sacramento, CA
1320002|1129202|118.14|McCook Ben Nelson Regional|McCook, NE|Denver International|Denver, CO
1412202|1082106|169.5|Pittsburgh International|Pittsburgh, PA|Baltimore/Washington International Thurgood Marshall|Washington, DC (Metropolitan Area)
1489302|1289208|177.0|Sacramento International|Sacramento, CA|Los Angeles International|Los Angeles, CA (Metropolitan Area)
1517702|1129202|132.15|Telluride Regional|Telluride, CO|Denver International|Denver, CO
1517702|1410702|319.72|Telluride Regional|Telluride, CO|Phoenix Sky Harbor International|Phoenix, AZ
Operator
Boutique Air
